scenario_id,hour,wind_mw,da_price,si
0_4_0,3,244.173,39.16,0
0_4_0,4,260.713,41.09,0
0_4_0,5,250.639,42.74,1
0_4_0,6,229.697,51.84,1
0_4_0,7,226.954,49.83,0
0_4_0,8,245.55,48.41,0
0_4_0,9,286.88,43.74,0
0_4_0,10,337.019,41.11,0
0_4_0,11,360.497,40.02,0
0_4_0,12,366.494,39.9,1
0_4_0,13,365.482,40.36,0
0_4_0,14,360.242,40.92,1
0_4_0,15,339.446,42.59,1
0_4_0,16,312.169,43.34,0
0_4_0,17,303.245,43.42,1
0_4_0,18,302.631,42.56,1
0_4_0,19,285.553,41.32,0
0_4_0,20,285.996,41.23,0
0_4_0,21,278.198,40.95,1
0_4_0,22,281.366,36.21,1
0_4_0,23,266.8,34.05,1
0_4_1,0,140.521,39.42,1
0_4_1,1,172.419,38.58,1
0_4_1,2,209.245,37.99,1
0_4_1,3,244.173,39.16,1
0_4_1,4,260.713,41.09,1
0_4_1,5,250.639,42.74,1
0_4_1,6,229.697,51.84,0
0_4_1,7,226.954,49.83,1
0_4_1,8,245.55,48.41,1
0_4_1,9,286.88,43.74,0
0_4_1,10,337.019,41.11,1
0_4_1,11,360.497,40.02,0
0_4_1,12,366.494,39.9,1
0_4_1,13,365.482,40.36,1
0_4_1,14,360.242,40.92,1
0_4_1,15,339.446,42.59,0
0_4_1,16,312.169,43.34,1
0_4_1,17,303.245,43.42,1
0_4_1,18,302.631,42.56,0
0_4_1,19,285.553,41.32,0
0_4_1,20,285.996,41.23,1
0_4_1,21,278.198,40.95,0
0_4_1,22,281.366,36.21,0
0_4_1,23,266.8,34.05,1
0_4_2,0,140.521,39.42,0
0_4_2,1,172.419,38.58,1
0_4_2,2,209.245,37.99,0
0_4_2,3,244.173,39.16,1
0_4_2,4,260.713,41.09,0
0_4_2,5,250.639,42.74,1
0_4_2,6,229.697,51.84,0
0_4_2,7,226.954,49.83,1
0_4_2,8,245.55,48.41,0
0_4_2,9,286.88,43.74,1
0_4_2,10,337.019,41.11,1
0_4_2,11,360.497,40.02,1
0_4_2,12,366.494,39.9,1
0_4_2,13,365.482,40.36,0
0_4_2,14,360.242,40.92,1
0_4_2,15,339.446,42.59,0
0_4_2,16,312.169,43.34,0
0_4_2,17,303.245,43.42,0
0_4_2,18,302.631,42.56,1
0_4_2,19,285.553,41.32,1
0_4_2,20,285.996,41.23,0
0_4_2,21,278.198,40.95,1
0_4_2,22,281.366,36.21,0
0_4_2,23,266.8,34.05,0
0_4_3,0,140.521,39.42,0
0_4_3,1,172.419,38.58,0
0_4_3,2,209.245,37.99,0
0_4_3,3,244.173,39.16,1
0_4_3,4,260.713,41.09,1
0_4_3,5,250.639,42.74,0
0_4_3,6,229.697,51.84,0
0_4_3,7,226.954,49.83,0
0_4_3,8,245.55,48.41,1
0_4_3,9,286.88,43.74,0
0_4_3,10,337.019,41.11,1
0_4_3,11,360.497,40.02,1
0_4_3,12,366.494,39.9,1
0_4_3,13,365.482,40.36,1
0_4_3,14,360.242,40.92,0
0_4_3,15,339.446,42.59,1
0_4_3,16,312.169,43.34,1
0_4_3,17,303.245,43.42,1
0_4_3,18,302.631,42.56,0
0_4_3,19,285.553,41.32,0
0_4_3,20,285.996,41.23,0
0_4_3,21,278.198,40.95,1
0_4_3,22,281.366,36.21,1
0_4_3,23,266.8,34.05,1
0_5_0,0,140.521,25.37,0
0_5_0,1,172.419,25.15,0
0_5_0,2,209.245,25.33,0
0_5_0,3,244.173,26.73,0
0_5_0,4,260.713,30.15,0
0_5_0,5,250.639,31.35,1
0_5_0,6,229.697,31.8,1
0_5_0,7,226.954,31.8,0
0_5_0,8,245.55,31.96,0
0_5_0,9,286.88,31.71,0
0_5_0,10,337.019,30.45,0
0_5_0,11,360.497,29.93,0
0_5_0,12,366.494,29.4,1
0_5_0,13,365.482,29.26,0
0_5_0,14,360.242,29.12,1
0_5_0,15,339.446,29.99,1
0_5_0,16,312.169,30.3,0
0_5_0,17,303.245,30.25,1
0_5_0,18,302.631,29.95,1
0_5_0,19,285.553,29.55,0
0_5_0,20,285.996,29.46,0
0_5_0,21,278.198,27.59,1
0_5_0,22,281.366,27.78,1
0_5_0,23,266.8,27.29,1
0_5_1,0,140.521,25.37,1
0_5_1,1,172.419,25.15,1
0_5_1,2,209.245,25.33,1
0_5_1,3,244.173,26.73,1
0_5_1,4,260.713,30.15,1
0_5_1,5,250.639,31.35,1
0_5_1,6,229.697,31.8,0
0_5_1,7,226.954,31.8,1
0_5_1,8,245.55,31.96,1
0_5_1,9,286.88,31.71,0
0_5_1,10,337.019,30.45,1
0_5_1,11,360.497,29.93,0
0_5_1,12,366.494,29.4,1
0_5_1,13,365.482,29.26,1
0_5_1,14,360.242,29.12,1
0_5_1,15,339.446,29.99,0
0_5_1,16,312.169,30.3,1
0_5_1,17,303.245,30.25,1
0_5_1,18,302.631,29.95,0
0_5_1,19,285.553,29.55,0
0_5_1,20,285.996,29.46,1
0_5_1,21,278.198,27.59,0
0_5_1,22,281.366,27.78,0
0_5_1,23,266.8,27.29,1
0_5_2,0,140.521,25.37,0
0_5_2,1,172.419,25.15,1
0_5_2,2,209.245,25.33,0
0_5_2,3,244.173,26.73,1
0_5_2,4,260.713,30.15,0
0_5_2,5,250.639,31.35,1
0_5_2,6,229.697,31.8,0
0_5_2,7,226.954,31.8,1
0_5_2,8,245.55,31.96,0
0_5_2,9,286.88,31.71,1
0_5_2,10,337.019,30.45,1
0_5_2,11,360.497,29.93,1
0_5_2,12,366.494,29.4,1
0_5_2,13,365.482,29.26,0
0_5_2,14,360.242,29.12,1
0_5_2,15,339.446,29.99,0
0_5_2,16,312.169,30.3,0
0_5_2,17,303.245,30.25,0
0_5_2,18,302.631,29.95,1
0_5_2,19,285.553,29.55,1
0_5_2,20,285.996,29.46,0
0_5_2,21,278.198,27.59,1
0_5_2,22,281.366,27.78,0
0_5_2,23,266.8,27.29,0
0_5_3,0,140.521,25.37,0
0_5_3,1,172.419,25.15,0
0_5_3,2,209.245,25.33,0
0_5_3,3,244.173,26.73,1
0_5_3,4,260.713,30.15,1
0_5_3,5,250.639,31.35,0
0_5_3,6,229.697,31.8,0
0_5_3,7,226.954,31.8,0
0_5_3,8,245.55,31.96,1
0_5_3,9,286.88,31.71,0
0_5_3,10,337.019,30.45,1
0_5_3,11,360.497,29.93,1
0_5_3,12,366.494,29.4,1
0_5_3,13,365.482,29.26,1
0_5_3,14,360.242,29.12,0
0_5_3,15,339.446,29.99,1
0_5_3,16,312.169,30.3,1
0_5_3,17,303.245,30.25,1
0_5_3,18,302.631,29.95,0
0_5_3,19,285.553,29.55,0
0_5_3,20,285.996,29.46,0
0_5_3,21,278.198,27.59,1
0_5_3,22,281.366,27.78,1
0_5_3,23,266.8,27.29,1
0_6_0,0,140.521,12.86,0
0_6_0,1,172.419,14.27,0
0_6_0,2,209.245,14.45,0
0_6_0,3,244.173,6.03,0
0_6_0,4,260.713,22.51,0
0_6_0,5,250.639,42.64,1
0_6_0,6,229.697,44.91,1
0_6_0,7,226.954,44.22,0
0_6_0,8,245.55,43.21,0
0_6_0,9,286.88,42.88,0
0_6_0,10,337.019,42.44,0
0_6_0,11,360.497,42.33,0
0_6_0,12,366.494,42.32,1
0_6_0,13,365.482,42.16,0
0_6_0,14,360.242,42.09,1
0_6_0,15,339.446,42.19,1
0_6_0,16,312.169,43.04,0
0_6_0,17,303.245,44.65,1
0_6_0,18,302.631,45.03,1
0_6_0,19,285.553,44.25,0
0_6_0,20,285.996,42.96,0
0_6_0,21,278.198,41.7,1
0_6_0,22,281.366,36.77,1
0_6_0,23,266.8,39.08,1
0_6_1,0,140.521,12.86,1
0_6_1,1,172.419,14.27,1
0_6_1,2,209.245,14.45,1
